"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"Jack_XLR_Switchcraft";1;"XLR3";;;
2;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
3;"TP4";"TestPoint_Keystone_5000-5004_Miniature";1;"INV2";;;
4;"TP3";"TestPoint_Keystone_5000-5004_Miniature";1;"INV1";;;
5;"TP2";"TestPoint_Keystone_5000-5004_Miniature";1;"OUTi+";;;
6;"TP1";"TestPoint_Keystone_5000-5004_Miniature";1;"OUTi-";;;
7;"U2";"Banana_Jack_1Pin";1;"PWR_JACK_GND";;;
8;"U4,U3";"SOT-23-5";2;"OPA376xxDBV";;;
9;"RO2,RO1,R10,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"R_US";;;
10;"RF2,R8,RF1,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10k";;;
11;"CF2,CF1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100pF";;;
12;"C5,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"C";;;
13;"C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100nF";;;
14;"H4,H3,H2,H1";"m3_mounting_hole";4;"MountingHole";;;
15;"R7,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0R";;;
16;"VOS2";"TestPoint_Keystone_5000-5004_Miniature";1;"VOS2";;;
17;"VOS1";"TestPoint_Keystone_5000-5004_Miniature";1;"VOS1";;;
18;"U1";"Banana_Jack_1Pin";1;"PWR_JACK_POS";;;
19;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"30k";;;
20;"JPOS1,JNEG1,J2,J1";"CON-SMA-EDGE-S";4;"Conn_Coaxial";;;
